Micro Lab,Digital Logic Design Lab (BSE-2B2),,Digital Logic Design Lab (BCS-2A2),,Reserved for EE Dept,,
,,,,,,,
Friday,,,,,,,
Seminar Hall,,,Sociology (BDS-6A),,,,
NB-201,Parallel & Distributed Comp (BDS-6B),,,,,,Requirement Engineering (MSP-2A)
NB-202,Advanced Machine Learning (MCS-4A),,Database Systems (BCS-4H),,Design & Analysis of Algo (BCS-6B),Design & Analysis of Algo (BCS-6A),
NB-203,,Info. Retrieval and Text Mining (MDS-4A),,,Natural Language Processing (MDS-2A),,
NB-204,,Compiler Construction (BCS-6A),,,Research Methodology (MCS-2A),,
NB-205,,Database Systems (BCS-6A),,,,,
NB-206,,,,,,,
NB-207,,,,,,,
NB-208,,,,,,,
NB-209,,,,,,,
NB-210,,,,,,,
NB-301,,Design & Analysis of Algo (BCS-4D),Design & Analysis of Algo (BCS-4C),,,,
NB-302,,,,,,,
NB-303,,,,,,,
NB-304,,,,,,,
NB-305,Soft Design & Architecture (BSE-4B),Soft Design & Architecture (BSE-4A),,,,,
NB-306,,,,,,,
NB-307,,,,,,,
NB-308,,,,,,,
NB-309,,,,,,,
NB-310,,,,,,,
NB-311,Ideology and Const of Pak & Seerat (BCS-2F),,,,Expository Writing (BDS-2A),,
NB-312,,,,, Islamic Studies/Ethics & Holy Quran (BDS-2B),,
CS-1,,,,,,,
CS-2,Expository Writing (BCS-2K),,,,,,
CS-3,,,,,,,
CS-4,, Islamic Studies/Ethics & Holy Quran (BDS-2A),,,,,
CS-5,,,,,,,
CS-6,Islamic Studies/Ethics & Holy Quran (BCS-2B),,,,,,
CS-7,,,,,,,
CS-13,,,,,,,
CS-14,,,,,,,
E&M-2,,,,,,,
E&M-5,,,,,,,
English Lab-1,,,,,,,
English Lab-2,,,,,,,
English Lab-3,,,,,,,
English Lab-4,,,,,,,
Lab-1,"Database Systems Lab (BCS-4A1, BCS-4A2)",,,,"Operating Systems Lab (BCS-4A1, BCS-4A2)",,
Lab-2,"Database Systems Lab (BCS-4B1, BCS-4B2)",,,,"Operating Systems Lab (BCS-4F1, BCS-4F2)",,
Lab-3,"Operating Systems Lab (BCS-4G1, BCS-4G2)",,,,"Database Systems Lab (BCS-4D1, BCS-4D2)",,
Lab-4,"Database Systems Lab (BCS-4J1, BCS-4J2)",,,,"Operating Systems Lab (BCS-4H1, BCS-4H2)",,
Lab-5,"Data Structures Lab (BDS-4A1, BDS-4A2)",,,,"Operating Systems Lab (BCS-4J1, BCS-4J2)",,
Lab-6,,"Soft Design & Architecture Lab (BSE-4B1, BSE-4B2)",,,"Soft Design & Architecture Lab (BSE-4A1, BSE-4A2)",,
Lab-8,"Object Oriented Programming Lab (BDS-2C1,BDS-2C2)",,,,"Programming Fundamentals (BCS-2A1,BCS-2A2)",,
Lab-13,"Operating Systems Lab (BCS-4E1, BCS-4E2)",,,,"Operating Systems Lab (BDS-6A1,BDS-6A2)",,
Lab-15,"Data Mining Lab (BDS-6C1,BDS-6C2)",,,,,,
Lab-16,"Database Systems Lab (BCS-4C1, BCS-4C2)",,,,"Operating Systems Lab (BCS-4B1, BCS-4B2)",,
Embedded Lab,Digital Logic Design Lab (BDS-2B2),,,,Digital Logic Design Lab (BCS-2C2),,
Physics Lab,Digital Logic Design Lab (BCS-2D1),,,,Digital Logic Design Lab (BCS-2B1),,
Micro Lab,Digital Logic Design Lab (BCS-2D2),,,,Digital Logic Design Lab (BCS-2B2),,
,,,,,,,
Saturday,,,,,,,
NB-201,Information Security (BCS-8A),,,Ethical Hacking (BCS-9A),,,
English Lab-1,,,,,,,
English Lab-2,,,,,,,
English Lab-3,,,,,,,
English Lab-4,,,,,,,
Lab-1,"Database Systems Lab (BCS-4K1, BCS-4K2)",,"F. of Big Data Analytics Lab (BDS-4A1, BDS-4A2)",,"Operating Systems Lab (BCS-4K1, BCS-4K2)",,
Lab-2,,,"Com. Org. & Assembly Lang. Lab (BCS-4C1, BCS-4C2)",,"Operating Systems Lab (BCS-6A1,BCS-6A2)",,
Lab-3,,,"Database Systems Lab (BCS-6A1,BCS-6A2)",,"Object Oriented Programming Lab (BSE-2A1,BSE-2A2)",,
Lab-4,"Artificial Intelligence Lab (BCS-6M1,BCS-6M2)",,"F. of Big Data Analytics Lab (BDS-4B1, BDS-4B2)",,"F. of Big Data Analytics Lab (BDS-4C1, BDS-4C2)",,
Lab-5,,,,,,,
Lab-6,"Com. Org. & Assembly Lang. Lab (BDS-4A1, BDS-4A2)",,"Database Systems Lab (BDS-4C1, BDS-4C2)",,"Database Systems Lab (BDS-4B1, BDS-4B2)",,
Lab-8,"Com. Org. & Assembly Lang. Lab (BCS-4B1, BCS-4B2)",,"Data Structures Lab (BCS-4B1, BCS-4B2)",,"Database Systems Lab (BDS-4A1, BDS-4A2)",,
Lab-13,"Com. Org. & Assembly Lang. Lab (BCS-4A1, BCS-4A2)",,"Data Structures Lab (BCS-4A1, BCS-4A2)",,"Data Structures Lab (BCS-4C1, BCS-4C2)",,
Lab-15,"Computer Networks Lab (BCS-6A1,BCS-6A2)",,"Computer Networks Lab (BCS-6B1,BCS-6B2)",,,,
Lab-16,"Artificial Intelligence Lab (BDS-6D1,BDS-6D2)",,"Object Oriented Programming Lab (BCS-2H1,BCS-2H2)",,,,
Physics Lab,Digital Logic Design Lab (BCS-2H1),,Digital Logic Design Lab (BSE-2A1),,,,
Micro Lab,Digital Logic Design Lab (BCS-2H2),,Digital Logic Design Lab (BSE-2A2),,,,
